PurchaseOrderID,RevisionNumber,Status,EmployeeID,VendorID,ProductID,OrderQty,UnitPrice,LineTotal,OrderDate,ShipMethod,ShipBase,ShipRate,ShipDate,SubTotal,TaxAmt,Freight,TotalDue,DueDate,ReceivedQty,RejectedQty,StockedQty
8,0,4,238,78,403,3,47.4705,142.4115,"2001-05-31 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2001-06-09 00:00:00",693.378,55.4702,17.3345,766.1827,"2001-06-14 00:00:00",3.00,0.00,3.00
9,1,4,261,74,426,3,43.323,129.969,"2002-01-14 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-23 00:00:00",694.1655,55.5332,17.3541,767.0528,"2002-01-28 00:00:00",3.00,0.00,3.00
9,1,4,261,74,425,3,45.423,136.269,"2002-01-14 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-23 00:00:00",694.1655,55.5332,17.3541,767.0528,"2002-01-28 00:00:00",3.00,0.00,3.00
9,1,4,261,74,424,3,49.6965,149.0895,"2002-01-14 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-23 00:00:00",694.1655,55.5332,17.3541,767.0528,"2002-01-28 00:00:00",3.00,0.00,3.00
9,1,4,261,74,423,3,45.423,136.269,"2002-01-14 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-23 00:00:00",694.1655,55.5332,17.3541,767.0528,"2002-01-28 00:00:00",3.00,0.00,3.00
9,1,4,261,74,422,3,47.523,142.569,"2002-01-14 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-23 00:00:00",694.1655,55.5332,17.3541,767.0528,"2002-01-28 00:00:00",3.00,0.00,3.00
10,0,4,274,13,322,60,25.4205,1525.23,"2002-01-14 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-23 00:00:00",1796.0355,143.6828,44.9009,1984.6192,"2002-01-28 00:00:00",60.00,0.00,60.00
10,0,4,274,13,321,3,42.798,128.394,"2002-01-14 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-23 00:00:00",1796.0355,143.6828,44.9009,1984.6192,"2002-01-28 00:00:00",3.00,0.00,3.00
10,0,4,274,13,320,3,47.4705,142.4115,"2002-01-14 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-23 00:00:00",1796.0355,143.6828,44.9009,1984.6192,"2002-01-28 00:00:00",3.00,0.00,3.00
11,0,4,244,51,441,3,39.123,117.369,"2002-01-14 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-01-23 00:00:00",501.1965,40.0957,12.5299,553.8221,"2002-01-28 00:00:00",3.00,0.00,3.00
11,0,4,244,51,440,3,41.223,123.669,"2002-01-14 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-01-23 00:00:00",501.1965,40.0957,12.5299,553.8221,"2002-01-28 00:00:00",3.00,0.00,3.00
11,0,4,244,51,439,3,45.4965,136.4895,"2002-01-14 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-01-23 00:00:00",501.1965,40.0957,12.5299,553.8221,"2002-01-28 00:00:00",3.00,0.00,3.00
11,0,4,244,51,438,3,41.223,123.669,"2002-01-14 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-01-23 00:00:00",501.1965,40.0957,12.5299,553.8221,"2002-01-28 00:00:00",3.00,0.00,3.00
12,0,4,231,80,941,550,62.9895,34644.225,"2002-01-14 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-23 00:00:00",34644.225,2771.538,866.1056,38281.8686,"2002-01-28 00:00:00",550.00,82.00,468.00
13,0,4,241,47,322,60,26.3655,1581.93,"2002-01-14 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-01-23 00:00:00",1839.5055,147.1604,45.9876,2032.6535,"2002-01-28 00:00:00",60.00,0.00,60.00
13,0,4,241,47,321,3,40.488,121.464,"2002-01-14 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-01-23 00:00:00",1839.5055,147.1604,45.9876,2032.6535,"2002-01-28 00:00:00",3.00,0.00,3.00
13,0,4,241,47,320,3,45.3705,136.1115,"2002-01-14 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-01-23 00:00:00",1839.5055,147.1604,45.9876,2032.6535,"2002-01-28 00:00:00",3.00,0.00,3.00
14,0,3,266,81,504,3,48.762,146.286,"2002-01-14 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-23 00:00:00",146.286,11.7029,3.6572,161.6461,"2002-01-28 00:00:00",3.00,3.00,0.00
15,0,4,164,46,497,3,34.188,102.564,"2002-01-14 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-23 00:00:00",102.564,8.2051,2.5641,113.3332,"2002-01-28 00:00:00",3.00,0.00,3.00
16,0,4,223,21,323,3,50.2635,150.7905,"2002-01-14 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-23 00:00:00",150.7905,12.0632,3.7698,166.6235,"2002-01-28 00:00:00",3.00,0.00,3.00
17,0,4,233,27,524,550,14.1225,7767.375,"2002-01-15 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-24 00:00:00",13669.425,1093.554,341.7356,15104.7146,"2002-01-29 00:00:00",550.00,0.00,550.00
17,0,4,233,27,523,550,10.731,5902.05,"2002-01-15 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-24 00:00:00",13669.425,1093.554,341.7356,15104.7146,"2002-01-29 00:00:00",550.00,0.00,550.00
18,0,4,238,86,496,60,48.909,2934.54,"2002-01-15 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-24 00:00:00",16393.23,1311.4584,409.8308,18114.5192,"2002-01-29 00:00:00",60.00,0.00,60.00
18,0,4,238,86,495,60,63.693,3821.58,"2002-01-15 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-24 00:00:00",16393.23,1311.4584,409.8308,18114.5192,"2002-01-29 00:00:00",60.00,0.00,60.00
18,0,4,238,86,494,60,53.2035,3192.21,"2002-01-15 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-24 00:00:00",16393.23,1311.4584,409.8308,18114.5192,"2002-01-29 00:00:00",60.00,0.00,60.00
18,0,4,238,86,493,60,57.1515,3429.09,"2002-01-15 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-24 00:00:00",16393.23,1311.4584,409.8308,18114.5192,"2002-01-29 00:00:00",60.00,0.00,60.00
18,0,4,238,86,492,60,50.2635,3015.81,"2002-01-15 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-24 00:00:00",16393.23,1311.4584,409.8308,18114.5192,"2002-01-29 00:00:00",60.00,0.00,60.00
19,0,4,261,45,912,550,30.4395,16741.725,"2002-01-15 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-01-24 00:00:00",79204.125,6336.33,1980.1031,87520.5581,"2002-01-29 00:00:00",550.00,0.00,550.00
19,0,4,261,45,911,550,21.0945,11601.975,"2002-01-15 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-01-24 00:00:00",79204.125,6336.33,1980.1031,87520.5581,"2002-01-29 00:00:00",550.00,0.00,550.00
19,0,4,261,45,910,550,40.9395,22516.725,"2002-01-15 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-01-24 00:00:00",79204.125,6336.33,1980.1031,87520.5581,"2002-01-29 00:00:00",550.00,0.00,550.00
19,0,4,261,45,909,550,30.4395,16741.725,"2002-01-15 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-01-24 00:00:00",79204.125,6336.33,1980.1031,87520.5581,"2002-01-29 00:00:00",550.00,0.00,550.00
19,0,4,261,45,908,550,21.0945,11601.975,"2002-01-15 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-01-24 00:00:00",79204.125,6336.33,1980.1031,87520.5581,"2002-01-29 00:00:00",550.00,0.00,550.00
20,0,4,264,93,506,60,9.198,551.88,"2002-01-15 00:00:00","XRQ - TRUCK GROUND",3.95,0.99,"2002-01-24 00:00:00",551.88,44.1504,13.797,609.8274,"2002-01-29 00:00:00",60.00,0.00,60.00
21,0,4,274,64,679,550,5.775,3176.25,"2002-01-15 00:00:00","XRQ - TRUCK GROUND",3.95,0.99,"2002-01-24 00:00:00",6987.75,559.02,174.6938,7721.4638,"2002-01-29 00:00:00",550.00,27.00,523.00
21,0,4,274,64,352,550,1.155,635.25,"2002-01-15 00:00:00","XRQ - TRUCK GROUND",3.95,0.99,"2002-01-24 00:00:00",6987.75,559.02,174.6938,7721.4638,"2002-01-29 00:00:00",550.00,0.00,550.00
21,0,4,274,64,351,550,5.775,3176.25,"2002-01-15 00:00:00","XRQ - TRUCK GROUND",3.95,0.99,"2002-01-24 00:00:00",6987.75,559.02,174.6938,7721.4638,"2002-01-29 00:00:00",550.00,0.00,550.00
22,0,4,231,4,508,550,27.6465,15205.575,"2002-01-15 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-01-24 00:00:00",28072.275,2245.782,701.8069,31019.8639,"2002-01-29 00:00:00",550.00,0.00,550.00
22,0,4,231,4,507,550,23.394,12866.7,"2002-01-15 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-01-24 00:00:00",28072.275,2245.782,701.8069,31019.8639,"2002-01-29 00:00:00",550.00,82.00,468.00
23,0,4,241,17,535,550,3.486,1917.3,"2002-01-15 00:00:00","XRQ - TRUCK GROUND",3.95,0.99,"2002-01-24 00:00:00",37312.275,2984.982,932.8069,41230.0639,"2002-01-29 00:00:00",550.00,0.00,550.00
23,0,4,241,17,940,550,62.9895,34644.225,"2002-01-15 00:00:00","XRQ - TRUCK GROUND",3.95,0.99,"2002-01-24 00:00:00",37312.275,2984.982,932.8069,41230.0639,"2002-01-29 00:00:00",550.00,0.00,550.00
23,0,4,241,17,355,550,1.365,750.75,"2002-01-15 00:00:00","XRQ - TRUCK GROUND",3.95,0.99,"2002-01-24 00:00:00",37312.275,2984.982,932.8069,41230.0639,"2002-01-29 00:00:00",550.00,0.00,550.00
24,0,3,266,12,352,550,1.47,808.5,"2002-01-15 00:00:00","XRQ - TRUCK GROUND",3.95,0.99,"2002-01-24 00:00:00",4215.75,337.26,105.3938,4658.4038,"2002-01-29 00:00:00",550.00,550.00,0.00
24,0,3,266,12,351,550,6.195,3407.25,"2002-01-15 00:00:00","XRQ - TRUCK GROUND",3.95,0.99,"2002-01-24 00:00:00",4215.75,337.26,105.3938,4658.4038,"2002-01-29 00:00:00",550.00,550.00,0.00
25,0,4,164,44,508,550,29.2845,16106.475,"2002-01-15 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-01-24 00:00:00",28297.5,2263.8,707.4375,31268.7375,"2002-01-29 00:00:00",523.00,0.00,523.00
25,0,4,164,44,507,550,22.1655,12191.025,"2002-01-15 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-01-24 00:00:00",28297.5,2263.8,707.4375,31268.7375,"2002-01-29 00:00:00",550.00,0.00,550.00
26,0,4,223,30,491,3,19.9815,59.9445,"2002-01-15 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-01-24 00:00:00",59.9445,4.7956,1.4986,66.2387,"2002-01-29 00:00:00",3.00,0.00,3.00
27,0,4,233,8,346,3,41.244,123.732,"2002-01-15 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-01-24 00:00:00",722.61,57.8088,18.0653,798.4841,"2002-01-29 00:00:00",3.00,0.00,3.00
27,0,4,233,8,345,3,36.9705,110.9115,"2002-01-15 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-01-24 00:00:00",722.61,57.8088,18.0653,798.4841,"2002-01-29 00:00:00",3.00,0.00,3.00
27,0,4,233,8,344,3,39.0705,117.2115,"2002-01-15 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-01-24 00:00:00",722.61,57.8088,18.0653,798.4841,"2002-01-29 00:00:00",3.00,0.00,3.00
27,0,4,233,8,343,3,43.344,130.032,"2002-01-15 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-01-24 00:00:00",722.61,57.8088,18.0653,798.4841,"2002-01-29 00:00:00",3.00,0.00,3.00
27,0,4,233,8,342,3,39.0705,117.2115,"2002-01-15 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-01-24 00:00:00",722.61,57.8088,18.0653,798.4841,"2002-01-29 00:00:00",3.00,0.00,3.00
27,0,4,233,8,341,3,41.1705,123.5115,"2002-01-15 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-01-24 00:00:00",722.61,57.8088,18.0653,798.4841,"2002-01-29 00:00:00",3.00,0.00,3.00
28,0,4,238,73,936,550,48.2895,26559.225,"2002-01-15 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-24 00:00:00",43878.45,3510.276,1096.9613,48485.6873,"2002-01-29 00:00:00",550.00,0.00,550.00
28,0,4,238,73,935,550,31.4895,17319.225,"2002-01-15 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-01-24 00:00:00",43878.45,3510.276,1096.9613,48485.6873,"2002-01-29 00:00:00",550.00,0.00,550.00
29,0,4,261,76,379,3,36.9705,110.9115,"2002-02-08 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-02-17 00:00:00",592.7985,47.4239,14.82,655.0424,"2002-02-22 00:00:00",3.00,0.00,3.00
29,0,4,261,76,378,3,41.244,123.732,"2002-02-08 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-02-17 00:00:00",592.7985,47.4239,14.82,655.0424,"2002-02-22 00:00:00",3.00,0.00,3.00
29,0,4,261,76,377,3,36.9705,110.9115,"2002-02-08 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-02-17 00:00:00",592.7985,47.4239,14.82,655.0424,"2002-02-22 00:00:00",3.00,0.00,3.00
29,0,4,261,76,376,3,39.0705,117.2115,"2002-02-08 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-02-17 00:00:00",592.7985,47.4239,14.82,655.0424,"2002-02-22 00:00:00",3.00,0.00,3.00
29,0,4,261,76,375,3,43.344,130.032,"2002-02-08 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-02-17 00:00:00",592.7985,47.4239,14.82,655.0424,"2002-02-22 00:00:00",3.00,0.00,3.00
30,0,4,264,77,478,550,11.088,6098.4,"2002-02-08 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-02-17 00:00:00",21252,1700.16,531.3,23483.46,"2002-02-22 00:00:00",550.00,0.00,550.00
30,0,4,264,77,477,550,11.6655,6416.025,"2002-02-08 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-02-17 00:00:00",21252,1700.16,531.3,23483.46,"2002-02-22 00:00:00",550.00,55.00,495.00
30,0,4,264,77,476,550,15.8865,8737.575,"2002-02-08 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-02-17 00:00:00",21252,1700.16,531.3,23483.46,"2002-02-22 00:00:00",550.00,0.00,550.00
31,0,4,244,28,402,3,47.4705,142.4115,"2002-02-08 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-17 00:00:00",142.4115,11.3929,3.5603,157.3647,"2002-02-22 00:00:00",3.00,0.00,3.00
32,2,4,231,2,511,550,29.274,16100.7,"2002-02-08 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-02-17 00:00:00",28794.15,2303.532,719.8538,31817.5358,"2002-02-22 00:00:00",550.00,0.00,550.00
32,2,4,231,2,510,550,23.079,12693.45,"2002-02-08 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-02-17 00:00:00",28794.15,2303.532,719.8538,31817.5358,"2002-02-22 00:00:00",550.00,82.00,468.00
33,0,4,241,87,405,3,45.3705,136.1115,"2002-02-16 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-02-25 00:00:00",421.155,33.6924,10.5289,465.3763,"2002-03-02 00:00:00",3.00,0.00,3.00
33,0,4,241,87,404,3,49.644,148.932,"2002-02-16 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-02-25 00:00:00",421.155,33.6924,10.5289,465.3763,"2002-03-02 00:00:00",3.00,0.00,3.00
33,0,4,241,87,403,3,45.3705,136.1115,"2002-02-16 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-02-25 00:00:00",421.155,33.6924,10.5289,465.3763,"2002-03-02 00:00:00",3.00,0.00,3.00
34,0,3,266,31,525,550,2.3205,1276.275,"2002-02-16 00:00:00","XRQ - TRUCK GROUND",3.95,0.99,"2002-02-25 00:00:00",1276.275,102.102,31.9069,1410.2839,"2002-03-02 00:00:00",550.00,550.00,0.00
35,0,4,164,26,526,550,3.6435,2003.925,"2002-02-16 00:00:00","XRQ - TRUCK GROUND",3.95,0.99,"2002-02-25 00:00:00",2003.925,160.314,50.0981,2214.3371,"2002-03-02 00:00:00",550.00,0.00,550.00
36,0,4,223,24,913,550,40.9395,22516.725,"2002-02-16 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-02-25 00:00:00",50860.425,4068.834,1271.5106,56200.7696,"2002-03-02 00:00:00",550.00,0.00,550.00
36,0,4,223,24,909,550,30.4395,16741.725,"2002-02-16 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-02-25 00:00:00",50860.425,4068.834,1271.5106,56200.7696,"2002-03-02 00:00:00",550.00,0.00,550.00
36,0,4,223,24,908,550,21.0945,11601.975,"2002-02-16 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-02-25 00:00:00",50860.425,4068.834,1271.5106,56200.7696,"2002-03-02 00:00:00",468.00,0.00,468.00
37,0,4,233,48,357,60,3.9795,238.77,"2002-02-16 00:00:00","XRQ - TRUCK GROUND",3.95,0.99,"2002-02-25 00:00:00",454.86,36.3888,11.3715,502.6203,"2002-03-02 00:00:00",60.00,0.00,60.00
37,0,4,233,48,356,60,3.6015,216.09,"2002-02-16 00:00:00","XRQ - TRUCK GROUND",3.95,0.99,"2002-02-25 00:00:00",454.86,36.3888,11.3715,502.6203,"2002-03-02 00:00:00",60.00,0.00,60.00
38,2,4,238,88,936,550,48.2895,26559.225,"2002-02-16 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-25 00:00:00",43878.45,3510.276,1096.9613,48485.6873,"2002-03-02 00:00:00",550.00,0.00,550.00
38,2,4,238,88,935,550,31.4895,17319.225,"2002-02-16 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-25 00:00:00",43878.45,3510.276,1096.9613,48485.6873,"2002-03-02 00:00:00",550.00,0.00,550.00
39,0,4,198,96,524,550,12.9675,7132.125,"2002-02-16 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-02-25 00:00:00",7132.125,570.57,178.3031,7880.9981,"2002-03-02 00:00:00",550.00,0.00,550.00
40,0,4,264,39,912,550,30.4395,16741.725,"2002-02-16 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-02-25 00:00:00",28343.7,2267.496,708.5925,31319.7885,"2002-03-02 00:00:00",550.00,55.00,495.00
40,0,4,264,39,911,550,21.0945,11601.975,"2002-02-16 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-02-25 00:00:00",28343.7,2267.496,708.5925,31319.7885,"2002-03-02 00:00:00",550.00,0.00,550.00
41,0,4,244,52,910,550,40.9395,22516.725,"2002-02-16 00:00:00","OVERNIGHT J-FAST",21.95,1.29,"2002-02-25 00:00:00",22516.725,1801.338,562.9181,24880.9811,"2002-03-02 00:00:00",550.00,0.00,550.00
42,1,4,231,43,937,550,62.9895,34644.225,"2002-02-16 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-25 00:00:00",34644.225,2771.538,866.1056,38281.8686,"2002-03-02 00:00:00",550.00,82.00,468.00
43,0,4,241,37,465,3,49.6965,149.0895,"2002-02-16 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-25 00:00:00",427.9275,34.2342,10.6982,472.8599,"2002-03-02 00:00:00",3.00,0.00,3.00
43,0,4,241,37,464,3,45.423,136.269,"2002-02-16 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-25 00:00:00",427.9275,34.2342,10.6982,472.8599,"2002-03-02 00:00:00",3.00,0.00,3.00
43,0,4,241,37,463,3,47.523,142.569,"2002-02-16 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-25 00:00:00",427.9275,34.2342,10.6982,472.8599,"2002-03-02 00:00:00",3.00,0.00,3.00
44,0,3,266,1,462,3,47.6805,143.0415,"2002-02-16 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-25 00:00:00",143.0415,11.4433,3.576,158.0608,"2002-03-02 00:00:00",3.00,3.00,0.00
45,0,4,274,56,511,550,27.867,15326.85,"2002-02-16 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-02-25 00:00:00",28199.325,2255.946,704.9831,31160.2541,"2002-03-02 00:00:00",523.00,0.00,523.00
45,0,4,274,56,510,550,23.4045,12872.475,"2002-02-16 00:00:00","ZY - EXPRESS",9.95,1.99,"2002-02-25 00:00:00",28199.325,2255.946,704.9831,31160.2541,"2002-03-02 00:00:00",550.00,0.00,550.00
46,0,4,223,60,527,550,6.7515,3713.325,"2002-02-16 00:00:00","XRQ - TRUCK GROUND",3.95,0.99,"2002-02-25 00:00:00",3713.325,297.066,92.8331,4103.2241,"2002-03-02 00:00:00",468.00,0.00,468.00
47,0,4,233,53,509,550,36.2775,19952.625,"2002-02-16 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-25 00:00:00",63831.075,5106.486,1595.7769,70533.3379,"2002-03-02 00:00:00",550.00,0.00,550.00
47,0,4,233,53,939,550,48.2895,26559.225,"2002-02-16 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-25 00:00:00",63831.075,5106.486,1595.7769,70533.3379,"2002-03-02 00:00:00",550.00,0.00,550.00
47,0,4,233,53,938,550,31.4895,17319.225,"2002-02-16 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-25 00:00:00",63831.075,5106.486,1595.7769,70533.3379,"2002-03-02 00:00:00",550.00,0.00,550.00
48,0,4,238,10,496,60,49.6545,2979.27,"2002-02-16 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-25 00:00:00",16340.31,1307.2248,408.5078,18056.0426,"2002-03-02 00:00:00",60.00,0.00,60.00
48,0,4,238,10,495,60,62.9265,3775.59,"2002-02-16 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-25 00:00:00",16340.31,1307.2248,408.5078,18056.0426,"2002-03-02 00:00:00",60.00,0.00,60.00
48,0,4,238,10,494,60,50.7465,3044.79,"2002-02-16 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-25 00:00:00",16340.31,1307.2248,408.5078,18056.0426,"2002-03-02 00:00:00",60.00,0.00,60.00
48,0,4,238,10,493,60,58.2645,3495.87,"2002-02-16 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-25 00:00:00",16340.31,1307.2248,408.5078,18056.0426,"2002-03-02 00:00:00",60.00,0.00,60.00
48,0,4,238,10,492,60,50.7465,3044.79,"2002-02-16 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-02-25 00:00:00",16340.31,1307.2248,408.5078,18056.0426,"2002-03-02 00:00:00",60.00,0.00,60.00
49,0,4,261,66,523,550,10.3845,5711.475,"2002-02-20 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-03-01 00:00:00",5711.475,456.918,142.7869,6311.1799,"2002-03-06 00:00:00",550.00,0.00,550.00
50,1,4,264,68,424,3,49.854,149.562,"2002-02-20 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-03-01 00:00:00",429.345,34.3476,10.7336,474.4262,"2002-03-06 00:00:00",3.00,0.00,3.00
50,1,4,264,68,423,3,45.5805,136.7415,"2002-02-20 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-03-01 00:00:00",429.345,34.3476,10.7336,474.4262,"2002-03-06 00:00:00",3.00,0.00,3.00
50,1,4,264,68,422,3,47.6805,143.0415,"2002-02-20 00:00:00","CARGO TRANSPORT 5",8.99,1.49,"2002-03-01 00:00:00",429.345,34.3476,10.7336,474.4262,"2002-03-06 00:00:00",3.00,0.00,3.00
